Variable Name,Variable Description,Corresponding Survey Question,Response Types,Source,Data Subset,Clean Label,Short Label for Plots,Confidential,Included in Public Facing?
practices_culturally_responsive,Indicates whether the school selected the tag culturally responsive practices: Pedagogy and curriculum are designed to support students who have been marginalized to be independent learners. Core barriers to learning for historically marginalized learners are examined and removed.,Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,culturally responsive\npractices,prac_culturally_responsive,No,Yes
practices_design_marginalized,"Indicates whether the school selected the tag design to meet needs of students who have been marginalized: The learning environment identifies circumstances impacting students who have been most marginalized in order to intentionally design innovations that improve experiences and outcomes for those students. (Students who have been marginalized may include: students with learning differences, students in foster care, students in the justice system, students with low academic performance, students from historically disenfranchised racial and cultural groups.)",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,design for marginalized\nstudents,prac_design_marginalized,No,Yes
practices_design_thinking,"Indicates whether the school selected the tag design thinking process: Students engage in design thinking, a structured framework for identifying challenges, gathering information, generating potential solutions, refining ideas, and testing solutions.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,design thinking process,prac_design_thinking,No,Yes
practices_disaggregated_participation_data,"Indicates whether the school selected the tag disaggregated data on student participation: The learning environment tracks data on the extent to which different groups of students (e.g., by race, gender, disability, socioeconomic status) participate in programs to ensure that students have equitable access.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,disaggregated student\nparticipation data,prac_disaggregated_data,No,Yes
practices_dual_language,Indicates whether the school selected the tag dual language programming: A form of bilingual education in which students are taught literacy and content in two languages.,Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,dual language programming,prac_dual_language,No,Yes
practices_early_college,"Indicates whether the school selected the tag early college high school: A hybrid of high school and college, where all students take both high school and college classes simultaneously, earning credit towards a college degree.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,early college high school,prac_early_college,No,Yes
practices_elimination_tracking,"Indicates whether the school selected the tag no tracked classes: Gifted programs are eliminated and barriers to advanced courses (e.g. AP, IB, honors) are removed so that no student is barred from accessing these opportunities. Remediation takes place throughout the regular scope and sequence so that ""lower level"" classes are removed.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,no tracked classes,prac_no_tracking,No,Yes
practices_enriched_virtual,"Indicates whether the school selected the tag enriched virtual model: A blended learning model in which students complete the majority of coursework online at home or outside of school, but attend school (or an alternative to school that is not home) for required face-to-face learning sessions with a teacher.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,enriched virtual model,prac_enriched_virtual,No,Yes
practices_expanded_open_hours,Indicates whether the school selected the tag expanded open hours: The learning environment is open outside of normal hours and during vacations to support learning and offer services.,Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,expanded open hours,prac_expanded_hours,No,Yes
practices_extended_learning,"Indicates whether the school selected the tag extended learning opportunities: Students can access credit-bearing learning experiences outside of school (e.g. internship, service learning, training, etc).",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,extended learning\nopportunities,prac_extended_learning,No,Yes
practices_families_leaders,"Indicates whether the school selected the tag families as co-leaders: The learning environment involves families in shared decision-making, and communicates how family input has informed decision-making. This may include strategies such as participatory budgeting, family advisory groups, etc.",Which of the following stakeholders participate as co-leaders? Select all that apply.,"0 = No
1 = Yes",School Survey,Tags data,families as co-leaders,prac_colead_family,No,Yes
practices_flex,"Indicates whether the school selected the tag flex model: A blended learning model in which students move on fluid schedules among learning activities according to their needs. Online learning is the backbone of student learning, and teachers provide support and instruction on a flexible, as-needed basis. In some cases students may have individual schedules set by a teacher or software algorithm that determine which stations they will rotate through (also known as ""individual rotation"").",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,flex model,prac_flex,No,Yes
practices_flexible_facilities,"Indicates whether the school selected the tag flexible facilities & classroom design: Design maximizes for flexibility and student choice, e.g. multi-purpose spaces, moveable walls, furniture can be arranged in different configurations, etc.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,flexible facilities\n& classrooms,prac_flex_facilities,No,Yes
practices_flexible_staffing,"Indicates whether the school selected the tag flexible staffing & alternative teaching roles: The learning environment makes creative use of human capital, e.g. through a tutor residency model, outside experts, master teachers or teacher mentors, etc.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,flexible staffing &\nalternative teaching roles,prac_flex_staffing,No,Yes
practices_flipped_classroom,"Indicates whether the school selected the tag flipped classroom: A blended learning model in which students learn at home via online coursework and lectures, and teachers use class time for teacher-guided practice or projects.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,flipped classroom,prac_flipped_class,No,Yes
practices_grading_mastery,"Indicates whether the school selected the tag grading policies focus on mastery: Grades are reported on a standards-based report card, and focus on the specific competencies students are expected to develop.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,grading policies focus\non mastery,prac_grading_mastery,No,Yes
practices_heritage_language,"Indicates whether the school selected the tag heritage language course(s): A course, or set of courses, designed to support reading, writing, and speaking for students' heritage language (defined as a non-English language they have extensive personal, familial, or community connection to). Similar to English language arts for English speakers but created for non-English languages.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,heritage language courses,prac_heritage_lang,No,Yes
practices_hiring_equity,"Indicates whether the school selected the tag hiring for equity and inclusion values: Hiring practices are designed to result in new hires with equity- and inclusion-focused values. The learning environment may employ specific innovations such as: students or community members on the interview committee, equity and positionality rubrics in use, hiring pool stays open until qualified diverse candidates are identified.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,hiring for equity &\ninclusion values,prac_hiring_equity,No,Yes
practices_industry_credentials,"Indicates whether the school selected the tag students earn industry credentials: Students can earn industry-issued or recognized credentials as a verification of a their qualifications or competence, in fields such as agriculture, hospitality & tourism, health, information technology, etc.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,students earn industry\ncredentials,prac_industry_cred,No,Yes
practices_industry_leaders,"Indicates whether the school selected the tag industry-based partners as co-leaders: The learning environment involves industry-based partners in shared decision-making, and communicates how these partners' input has informed decision-making. This may include strategies such as designing career pathways, developing curriculum and assessments, or offering validated work-based learning as a core part of the school's
design.",Which of the following stakeholders participate as co-leaders? Select all that apply.,"0 = No
1 = Yes",School Survey,Tags data,industry-based partners\nas co-leaders,prac_colead_industry,No,Yes
practices_interdisciplinary,"Indicates whether the school selected the tag interdisciplinary: Projects and learning activities develop knowledge and skills across multiple subject areas and highlight connections between subject area domains, with formal collaboration among teachers across subject areas.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,interdisciplinary,prac_interdisciplinary,No,Yes
practices_interoperability,"Indicates whether the school selected the tag interoperable data from multiple technologies: Data from multiple platforms or software programs is integrated in a ""data dashboard"" reflecting overall student learning and progress.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,interoperable data from\nmultiple technologies,prac_interoperability,No,Yes
practices_learning_paths,Indicates whether the school selected the tag individual learning paths: Students choose unique learning pathways that are relevant to their interests and passions.,Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,individual learning paths,prac_learning_paths,No,Yes
practices_makerspace,Indicates whether the school selected the tag makerspace: Students can access a space and/or set of tools for use in building and designing creations.,Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,makerspace,prac_makerspace,No,Yes
practices_mental_health,Indicates whether the school selected the tag mental health services: The learning environment offers (or partners to offer) comprehensive counseling and mental health services for students.,Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,mental health services,prac_mental_health,No,Yes
practices_mentoring,Indicates whether the school selected the tag 1:1 mentoring: Students connect with adults in and/or outside of the learning environment for 1:1 mentoring and regular check-in meetings.,Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,1:1 mentoring,prac_mentoring,No,Yes
practices_mtss_academics,"Indicates whether the school selected the tag multi-tiered system of support (MTSS) in academics: The learning environment has an explicit multi-tiered system of support wherein students progress is monitored for all students, and students who are progressing at a slower pace are provided with structured academic interventions aligned to their academic needs with varying tiers of intensity. Progress is tracked in an ongoing manner for all students to inform fluid intervention decisions.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,multi-tiered system of support\n(MTSS) in academics,prac_mtss,No,Yes
practices_multi_age,"Indicates whether the school selected the tag multi-age classrooms: Classrooms include students of many ages, rather than grouping them by age or grade band.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,multi-age classrooms,prac_multi_age,No,Yes
practices_opportunities_mastery,Indicates whether the school selected the tag multiple opportunities to demonstrate mastery: Students have more than one opportunity to demonstrate their learning in order to show they have achieved mastery.,Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,multiple opportunities to\ndemonstrate mastery,prac_mult_opportunity,No,Yes
practices_other_leaders,"Indicates whether the school selected the tag co-leadership and indicated ""Other"": School utilizes co-leadership with partners that do not fall under the category of students, teachers, families, community-based organizations, or industry-based partners.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,other co-leaders,prac_colead_other,No,Yes
practices_pbl,"Indicates whether the school selected the tag project-based learning: Students learn through answering complex questions or solving for real-world problems (e.g. homelessness in their city, or a marketing challenge faced by a real company). Also called problem-based learning, inquiry-based learning, or learning-by-doing.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,project-based learning,prac_pbl,No,Yes
practices_peer_to_peer,"Indicates whether the school selected the tag peer to peer support: The learning environment creates deliberate structures and processes for peer support, e.g. peer mentorship, peer tutoring, peer assessment, accountability partners, etc.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,peer to peer support,prac_peer_to_peer,No,Yes
practices_performance_assessment,"Indicates whether the school selected the tag performance based assessment: Students apply knowledge or demonstrate a skill in place of traditional assessment, for example, through portfolios, projects, and other displays of progress toward goals.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,performance based\nassessments,prac_assess_performance,No,Yes
practices_physical_well_being,"Indicates whether the school selected the tag physical well being services: The learning environment offers (or partners to offer) comprehensive services to support the physical health and well-being of students, e.g. supports related to nutrition, housing, abuse, bullying.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,physical well being services,prac_phys_well_being,No,Yes
practices_place_based,"Indicates whether the school selected the tag place-based learning: The school uses local knowledge, skills, issues, heritage, culture, and landscapes as the foundation for studying subjects across the curriculum.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,place-based learning,prac_place_based,No,Yes
practices_reallocation_resources,"Indicates whether the school selected the tag reallocation of resources for those most in need: Distributing school resources equitably, so students receive support and resources according to their need rather than every student receiving the same supports. (Example: assigning most experienced and highest skilled teachers to students needing the most help.)",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,reallocation of resources\nfor those most in need,prac_reallocate_resources,No,Yes
practices_restorative,"Indicates whether the school selected the tag restorative practices: Restorative practices are used to resolve conflict and strengthen relationships among individuals and within communities in ways that are intentionally restorative, developmentally appropriate, and equitably applied.. (In contrast to reacting to harmful or hurtful behavior with punishment or suspension.)",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,restorative practices,prac_restorative,No,Yes
practices_sel_curriculum,Indicates whether the school selected the tag SEL curriculum: The learning environment has adopted a formal classroom curriculum for social and emotional learning outside of academic subjects.,Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,SEL curriculum,prac_sel_curriculum,No,Yes
practices_sel_integrated,Indicates whether the school selected the tag SEL integration school-wide: The learning environment integrates social and emotional learning throughout the academic curriculum and other activities (in contrast to a stand-alone SEL curriculum).,Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,SEL integration school-wide,prac_sel_integrated,No,Yes
practices_service_learning,"Indicates whether the school selected the tag service learning: Students engage in meaningful community service to enrich the learning experience, learn civic responsibility, and strengthen their communities.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,service learning,prac_service_learning,No,Yes
practices_social_justice,"Indicates whether the school selected the tag social justice focus: The learning environment uses a social justice lens to design curriculum, instruction, policies, and community engagement. This could include work to understand and address large, complex social issues such as poverty, food insecurity, racism, and environmental justice.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,social justice focus,prac_social_justice,No,Yes
practices_station_rotation,"Indicates whether the school selected the tag station rotation: A blended learning model in which students rotate through stations on a fixed schedule, where at least one of the stations is an online learning station. In some cases the online learning station may be a computer lab (also known as ""lab rotation"").",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,station rotation,prac_station_rotation,No,Yes
practices_student_conferences,"Indicates whether the school selected the tag student-led conferences: Students plan and lead a meeting including parents and teachers to discuss the student's learning, growth, Individual Education Program (IEP) and/or reclassification from English Learner services if applicable. (As opposed to parent-teacher conferences without students present.)",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,student-led conferences,prac_student_conferences,No,Yes
practices_student_data,Indicates whether the school selected the tag students access their own data: Students (and families) can access their own learning and assessment data in real time.,Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,students access their\nown data,prac_student_data,No,Yes
practices_student_goals,"Indicates whether the school selected the tag student-led goal setting: Students set and pursue their own learning goals, as well as self-assess their progress.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,student-led goal setting,prac_student_goals,No,Yes
practices_student_pace,Indicates whether the school selected the tag self-paced learning: Students determine their own pace in learning rather than being required to move at the same pace as a whole group.,Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,self-paced learning,prac_student_pace,No,Yes
practices_student_projects,"Indicates whether the school selected the tag students develop projects: Students are partners and leaders in designing, implementing, and assessing projects.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,students develop projects,prac_student_projects,No,Yes
practices_students_leaders,"Indicates whether the school selected the tag students as co-leaders: The learning environment involves students in shared decision-making, and communicates how student input has informed decision-making. This may include strategies such as student advisory councils, input on curriculum and culture-setting, etc.",Which of the following stakeholders participate as co-leaders? Select all that apply.,"0 = No
1 = Yes",School Survey,Tags data,students as co-leaders,prac_colead_student,No,Yes
practices_teachers_leaders,"Indicates whether the school selected the tag teachers as co-leaders: The learning environment involves teachers in shared decision-making, and communicates how teacher input has informed decision-making. Teachers make decisions in areas such as learning environment success, curriculum, budget, evaluating their colleagues, selecting personnel, and more.",Which of the following stakeholders participate as co-leaders? Select all that apply.,"0 = No
1 = Yes",School Survey,Tags data,teachers as co-leaders,prac_colead_teacher,No,Yes
practices_translanguaging,"Indicates whether the school selected the tag translanguaging: All students are encouraged to use all languages or dialects they know to make meaning, communicate, and participate in schooling without separation of languages (e.g., ""English time"" vs. ""Spanish time""; enforcing English use in shared spaces; or discouraging AAVE and other ""nonstandard"" English forms).",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,translanguaging,prac_translanguaging,No,Yes
practices_trauma_informed,"Indicates whether the school selected the tag trauma-informed practices: Adults are trained to recognize and respond to those who have been impacted by traumatic stress, and students are provided with clear expectations and communication strategies to guide them through stressful situations.",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,trauma-informed practices,prac_trauma_informed,No,Yes
practices_tutoring,"Indicates whether the school selected the tag tutoring: In high-impact tutoring, students work with a consistent tutor, multiple times per week, in sessions that are integrated with the learning environment's curriculum and schedule (as opposed to a supplemental or out-of-school program).",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,tutoring,prac_tutoring,No,Yes
practices_udl,"Indicates whether the school selected the tag universal design for learning: The learning environment is designed to proactively meet the needs of all learners by identifying barriers to learning in the design of the environment, not in the student. This helps educators differentiate to effectively instruct a diverse group of students, regardless of whether students have an Individualized Education Program (IEP).",Are any of the following practices being implemented school- or site-wide this school year?,"0 = No
1 = Yes",School Survey,Tags data,universal design for learning,prac_udl,No,Yes
co_leaders_other_leaders_text,"Self-identified school co-leader(s) the learning environment partners with that do not fall under the category of students, teachers, families, community-based organizations, or industry-based partners.",Which of the following stakeholders participate as co-leaders? Select all that apply.,Open response,School Survey,School data,,prac_colead_other_text,No,Yes
focus_bipoc,"Design to meet needs of students who have been marginalized centers Black, Indigenous, and other students of color.",Is your innovative model designed to meet the needs of any of the following student groups?,"0 = No
1 = Yes",School Survey,Goals & Impact data,,focus_bipoc,No,Yes
focus_economic_disadvantage,Design to meet needs of students who have been marginalized centers economically disadvantaged students.,Is your innovative model designed to meet the needs of any of the following student groups?,"0 = No
1 = Yes",School Survey,Goals & Impact data,,focus_frpl,No,Yes
focus_emergent_bilingual,Design to meet needs of students who have been marginalized centers students classified as English learners.,Is your innovative model designed to meet the needs of any of the following student groups?,"0 = No
1 = Yes",School Survey,Goals & Impact data,,focus_el,No,Yes
focus_foster,Design to meet needs of students who have been marginalized centers students in the foster care system.,Is your innovative model designed to meet the needs of any of the following student groups?,"0 = No
1 = Yes",School Survey,Goals & Impact data,,focus_foster,No,Yes
focus_homeless,Design to meet needs of students who have been marginalized centers students experiencing houselessness.,Is your innovative model designed to meet the needs of any of the following student groups?,"0 = No
1 = Yes",School Survey,Goals & Impact data,,focus_homeless,No,Yes
focus_interrupted,Design to meet needs of students who have been marginalized centers students with interrupted formal education.,Is your innovative model designed to meet the needs of any of the following student groups?,"0 = No
1 = Yes",School Survey,Goals & Impact data,,focus_sife,No,Yes
focus_juvenile_justice,Design to meet needs of students who have been marginalized centers students in the juvenile justice system.,Is your innovative model designed to meet the needs of any of the following student groups?,"0 = No
1 = Yes",School Survey,Goals & Impact data,,focus_juvenile_justice,No,Yes
focus_multilingual,"Design to meet needs of students who have been marginalized centers multilingual students, including students classified as English learners, reclassified students, students who were never classified as English learners but come from multilingual homes, and students enrolled in dual language programs.",Is your innovative model designed to meet the needs of any of the following student groups?,"0 = No
1 = Yes",School Survey,Goals & Impact data,,focus_multilingual,No,Yes
focus_newcomer,"Design to meet needs of students who have been marginalized centers newcomer students, including immigrants and refugees.",Is your innovative model designed to meet the needs of any of the following student groups?,"0 = No
1 = Yes",School Survey,Goals & Impact data,,focus_newcomer,No,Yes
