school_id,school_name,school_state,"Big Picture 
Learning",EL Edu,IB,"New Tech 
Network","Opportunity 
Culture","Summit 
Learning",grades_high,waiver_application,political_impact,category,count
712,High School of Commerce,Massachusetts,0,0,0,0,0,0,1,Not considered,2,Urban,1
707,Empower Community School,Alabama,0,0,0,0,0,0,0,Not considered,3,Urban,1
703,Catalyst: Bremerton,Washington,0,2,0,0,0,0,0,Not considered,3,Urban,1
694,Bostonia Global K-14,California,2,0,0,1,1,1,1,Received,2,Urban,1
693,BELIEVE Circle City High School,Indiana,0,0,0,0,0,0,1,Not considered,3,Urban,1
691,Aventura Community School,Tennessee,0,2,0,0,0,0,0,Received,4,Urban,1
690,Altura Preparatory School,New Mexico,0,0,0,0,0,0,0,Received,3,Urban,1
685,Innovation Lab High School,Washington,0,2,0,0,0,0,1,Received,2,Suburban,1
679,Ruby Bridges Elementary School,Washington,0,0,1,0,0,0,0,Not considered,2,Suburban,1
674,Fenway High School,Massachusetts,0,0,0,0,0,0,1,Received,2,Urban,1
669,Batesburg-Leesville Primary School,South Carolina,0,0,0,0,0,0,0,Received,5,Rural,1
666,I Dream Public Charter School,District of Columbia,0,2,0,0,0,0,0,Received,2,Urban,1
665,Capital Experience Lab,District of Columbia,0,1,0,0,0,0,0,Not considered,5,Urban,1
660,One World Middle School,New York,0,0,0,0,0,0,0,Not considered,3,Urban,1
656,Lucama Elementary,North Carolina,0,0,0,0,2,0,0,Received,3,Rural,1
654,Colchester High School,Vermont,1,1,0,0,1,1,1,Not considered,3,Rural,1
653,Dolores Huerta Middle School,California,0,0,0,0,0,0,0,Not considered,4,Suburban,1
652,Portland High School,Michigan,0,0,0,0,0,0,1,Not considered,4,Urban,1
650,Hamilton High School,Michigan,0,0,0,0,0,0,1,Received,3,Rural,1
640,Valor Preparatory Academy of Arizona,Arizona,1,0,0,0,1,0,1,Not considered,1,Suburban,1
638,Prospect Academy,Colorado,0,1,0,0,0,0,0,Received,2,Rural,1
638,Prospect Academy,Colorado,0,1,0,0,0,0,0,Received,2,Suburban,1
638,Prospect Academy,Colorado,0,1,0,0,0,0,0,Received,2,Urban,1
638,Prospect Academy,Colorado,0,1,0,0,0,0,0,Received,2,Multiple,1
635,STREAM School at Hamilton Middle School,Michigan,0,0,0,0,0,0,0,Not considered,1,Rural,1
627,Phoenix International Academy,Arizona,0,0,0,0,0,0,0,"Considered, but not applied",5,Urban,1
624,La Promesa,Texas,0,0,0,0,0,0,1,Not considered,3,Urban,1
605,8 Million Stories,Texas,2,1,0,0,1,1,1,Not considered,4,Urban,1
568,Swiftwater Alternative High School,Washington,2,0,0,0,0,0,1,Received,4,Rural,1
555,Grayson High School,Georgia,1,0,0,1,2,1,1,Received,3,Suburban,1
549,Phoenix Modern,Arizona,0,0,0,0,0,0,0,Not considered,2,Urban,1
541,Clark Street Community School,Wisconsin,1,1,0,0,0,0,1,Received,2,Suburban,1
537,Northern Cass High School,North Dakota,0,0,0,0,0,0,1,Received,1,Rural,1
530,Helen S Dunn Elementary School,Maine,0,1,0,0,0,0,0,Not considered,3,Rural,1
522,Yampa Valley High School,Colorado,0,0,0,0,0,0,1,Not considered,2,Rural,1
518,Richland Two Institute of Innovation (R2i2),South Carolina,0,0,0,0,0,0,1,Received,3,Suburban,1
517,Career Academy High School,Indiana,0,1,0,0,0,0,1,Not considered,2,Urban,1
511,Nyos Charter School,Texas,0,0,0,0,0,0,1,Received,4,Urban,1
501,Launch High,Utah,0,0,0,0,0,0,1,Not considered,3,Rural,1
499,Village High School,Colorado,1,1,1,1,1,2,1,"Considered, but not applied",4,Rural,1
499,Village High School,Colorado,1,1,1,1,1,2,1,"Considered, but not applied",4,Suburban,1
499,Village High School,Colorado,1,1,1,1,1,2,1,"Considered, but not applied",4,Urban,1
499,Village High School,Colorado,1,1,1,1,1,2,1,"Considered, but not applied",4,Multiple,1
498,Wilder Middle School,Idaho,0,0,0,0,0,0,0,Received,4,Rural,1
497,PS 13 Clement C Moore,New York,0,0,0,0,0,0,0,"Considered, but not applied",4,Urban,1
493,Exploration High School,Minnesota,1,0,0,0,0,0,1,Not considered,2,Urban,1
483,Detroit Prep,Michigan,0,1,0,0,0,0,0,Not considered,5,Urban,1
476,Wish Community School,California,0,0,0,0,0,0,0,Not considered,3,Urban,1
472,Burlington City & Lake Semester,Vermont,0,1,0,0,0,0,1,Not considered,1,Suburban,1
472,Burlington City & Lake Semester,Vermont,0,1,0,0,0,0,1,Not considered,1,Urban,1
472,Burlington City & Lake Semester,Vermont,0,1,0,0,0,0,1,Not considered,1,Multiple,1
462,Spring Grove School,Minnesota,2,1,0,0,0,0,1,Not considered,3,Rural,1
458,The Albuquerque Sign Language Academy,New Mexico,1,1,0,0,0,1,1,Received,3,Urban,1
457,"Dził Ditł'ooi School of Empowerment, Action, and Perseverance (DEAP)",New Mexico,0,1,0,0,0,0,1,Received,3,Rural,1
455,Uxbridge High School,Massachusetts,1,0,0,0,0,0,1,Not considered,4,Rural,1
455,Uxbridge High School,Massachusetts,1,0,0,0,0,0,1,Not considered,4,Suburban,1
455,Uxbridge High School,Massachusetts,1,0,0,0,0,0,1,Not considered,4,Multiple,1
452,Nokomis Regional High,Maine,0,0,0,1,0,0,1,Not considered,3,Rural,1
448,"Ke Kula ʻo Samuel M. Kamakau, LPCS",Hawaii,0,0,0,0,0,0,1,Received,2,Suburban,1
431,The U School,Pennsylvania,0,0,0,0,0,0,1,Not considered,1,Urban,1
410,CHIME Institute's Schwarzenegger Community,California,0,0,0,0,0,0,0,Not considered,3,Urban,1
406,Bioscience High School,Arizona,1,0,0,0,0,0,1,Not considered,5,Urban,1
400,Legacy Prep,Alabama,0,0,0,0,0,0,0,Not considered,1,Urban,1
394,Hazen Union High School,Vermont,0,0,0,0,0,0,1,Not considered,3,Rural,1
390,River Bend Career & Technical Center,Vermont,1,1,0,2,1,1,1,Received,1,Rural,1
388,Frederick County Middle School,Virginia,0,0,0,0,0,0,0,"Considered, but not applied",4,Rural,1
384,Gull Lake Virtual Partnership,Michigan,0,0,0,0,0,0,1,Received,5,Rural,1
384,Gull Lake Virtual Partnership,Michigan,0,0,0,0,0,0,1,Received,5,Suburban,1
384,Gull Lake Virtual Partnership,Michigan,0,0,0,0,0,0,1,Received,5,Multiple,1
383,Oxford Virtual Academy,Michigan,0,0,0,0,0,0,1,Received,4,Rural,1
383,Oxford Virtual Academy,Michigan,0,0,0,0,0,0,1,Received,4,Suburban,1
383,Oxford Virtual Academy,Michigan,0,0,0,0,0,0,1,Received,4,Urban,1
383,Oxford Virtual Academy,Michigan,0,0,0,0,0,0,1,Received,4,Multiple,1
371,Washtenaw Alliance for Virtual Education (WAVE),Michigan,1,0,0,0,1,0,1,Received,3,Rural,1
371,Washtenaw Alliance for Virtual Education (WAVE),Michigan,1,0,0,0,1,0,1,Received,3,Suburban,1
371,Washtenaw Alliance for Virtual Education (WAVE),Michigan,1,0,0,0,1,0,1,Received,3,Urban,1
371,Washtenaw Alliance for Virtual Education (WAVE),Michigan,1,0,0,0,1,0,1,Received,3,Multiple,1
369,Vista Grande Charter High School,New Mexico,2,1,0,1,0,1,1,Received,3,Rural,1
359,Technology Leadership High School,New Mexico,1,1,0,0,1,1,1,Not considered,5,Urban,1
353,South Bronx Community Charter High School,New York,2,0,0,0,0,0,1,"Considered, but not applied",3,Urban,1
348,Science Leadership Academy,Pennsylvania,0,0,0,0,0,0,1,Received,4,Urban,1
340,R5 High School,Colorado,0,0,0,0,0,0,1,Not considered,4,Urban,1
333,Paulo Freire Freedom School -Downtown,Arizona,1,1,0,1,0,0,0,Not considered,3,Urban,1
332,Pathways High,Wisconsin,1,0,0,1,0,0,1,Not considered,4,Urban,1
330,Ottawa High School,Kansas,1,1,0,0,0,0,1,Not considered,4,Rural,1
323,Northeast Academy for Aerospace and Advanced Technologies,North Carolina,0,0,0,0,0,0,1,Not considered,4,Rural,1
319,Nipmuc Regional High School,Massachusetts,1,0,0,0,0,0,1,Not considered,2,Rural,1
308,Matchbook Learning at Wendell Phillips,Indiana,0,1,0,0,0,0,0,"Considered, but not applied",4,Urban,1
303,Living School,Louisiana,1,1,0,0,0,0,1,Not considered,5,Urban,1
302,Lincoln Middle School (AR),Arkansas,0,2,0,0,2,2,0,Received,4,Rural,1
293,Iowa BIG,Iowa,1,0,0,0,0,0,1,"Considered, but not applied",4,Rural,1
293,Iowa BIG,Iowa,1,0,0,0,0,0,1,"Considered, but not applied",4,Suburban,1
293,Iowa BIG,Iowa,1,0,0,0,0,0,1,"Considered, but not applied",4,Urban,1
293,Iowa BIG,Iowa,1,0,0,0,0,0,1,"Considered, but not applied",4,Multiple,1
291,International High School at Langley Park,Maryland,1,1,0,0,0,1,1,Not considered,3,Suburban,1
262,Durango Big Picture High School,Colorado,2,0,0,0,0,0,1,Received,4,Rural,1
262,Durango Big Picture High School,Colorado,2,0,0,0,0,0,1,Received,4,Urban,1
262,Durango Big Picture High School,Colorado,2,0,0,0,0,0,1,Received,4,Multiple,1
237,ACE Leadership High School,New Mexico,2,0,0,0,0,0,1,Not considered,4,Urban,1
236,5280 High School,Colorado,0,1,0,0,0,0,1,Received,2,Suburban,1
236,5280 High School,Colorado,0,1,0,0,0,0,1,Received,2,Urban,1
236,5280 High School,Colorado,0,1,0,0,0,0,1,Received,2,Multiple,1
234,Virtual Learning Academy,New Hampshire,0,0,0,0,0,0,1,Not considered,2,Rural,1
234,Virtual Learning Academy,New Hampshire,0,0,0,0,0,0,1,Not considered,2,Suburban,1
234,Virtual Learning Academy,New Hampshire,0,0,0,0,0,0,1,Not considered,2,Urban,1
234,Virtual Learning Academy,New Hampshire,0,0,0,0,0,0,1,Not considered,2,Multiple,1
218,Waimea Canyon Middle School,Hawaii,0,0,0,0,0,0,0,"Considered, but not applied",3,Rural,1
208,TRIO Wolf Creek Distance Learning Charter School,Minnesota,2,0,0,0,0,0,1,Not considered,3,Rural,1
201,Taos Academy Charter School,New Mexico,0,0,0,0,0,0,1,Not considered,3,Rural,1
189,Social Justice Humanitas Academy,California,0,0,0,0,0,0,1,Received,4,Suburban,1
167,Red Bank Elementary,South Carolina,0,0,0,0,0,0,0,Not considered,3,Suburban,1
165,Purdue Polytechnic High Schools,Indiana,1,0,0,0,0,0,1,Not considered,2,Urban,1
144,Northside Elementary School,Arkansas,0,0,0,0,0,0,0,Not considered,5,Urban,1
141,Norris Academy,Wisconsin,0,0,0,0,0,0,1,"Considered, but not applied",3,Rural,1
139,New Legacy Charter School,Colorado,2,0,0,0,0,0,1,"Considered, but not applied",4,Urban,1
138,New Haven Academy,Connecticut,0,0,0,0,0,0,1,Not considered,4,Urban,1
132,Mission Vista High School,California,0,0,0,0,0,0,1,Not considered,3,Suburban,1
122,Map Academy Charter School,Massachusetts,0,0,0,0,0,0,1,"Considered, but not applied",3,Suburban,1
120,Magnolia Montessori For All,Texas,0,0,0,0,0,0,0,Received,2,Urban,1
105,Juab High School,Utah,0,0,0,0,0,0,1,Received,4,Rural,1
101,Impact | Puget Sound Elementary,Washington,0,0,0,0,0,0,0,Not considered,1,Urban,1
98,Howard Middle School for Math and Science,District of Columbia,0,0,0,0,0,2,0,"Applied, but not received",1,Urban,1
97,Horizons Alternative Education School,Michigan,0,0,0,0,0,0,1,Received,2,Rural,1
85,Girls Athletic Leadership Middle School,Colorado,0,1,0,0,0,0,0,Not considered,5,Urban,1
81,Future Public School,Idaho,0,2,0,0,0,0,0,Not considered,4,Suburban,1
80,Fred Tjardes School of Innovation,Colorado,0,0,0,0,0,0,0,Received,3,Urban,1
79,Frank McCourt High School,New York,0,0,0,1,0,0,1,"Considered, but not applied",3,Urban,1
76,Flushing International High School,New York,0,0,0,0,0,0,1,Received,1,Urban,1
71,Fannie Lou Hamer Freedom High School,New York,2,0,0,0,0,0,1,Received,3,Urban,1
70,Evergreen Community Charter School,North Carolina,0,2,0,0,0,0,0,Not considered,1,Rural,1
70,Evergreen Community Charter School,North Carolina,0,2,0,0,0,0,0,Not considered,1,Suburban,1
70,Evergreen Community Charter School,North Carolina,0,2,0,0,0,0,0,Not considered,1,Urban,1
70,Evergreen Community Charter School,North Carolina,0,2,0,0,0,0,0,Not considered,1,Multiple,1
58,Digital Pioneers Academy,District of Columbia,0,0,0,0,0,0,1,Not considered,3,Urban,1
58,Digital Pioneers Academy,District of Columbia,0,0,0,0,0,0,1,Not considered,3,Multiple,1
47,Concourse Village Elementary School,New York,0,0,1,0,0,0,0,"Considered, but not applied",3,Urban,1
44,Common Ground High School,Connecticut,0,1,0,0,0,0,1,Not considered,2,Urban,1
41,CodeRVA Regional High School,Virginia,0,0,0,0,0,0,1,Received,4,Rural,1
41,CodeRVA Regional High School,Virginia,0,0,0,0,0,0,1,Received,4,Suburban,1
41,CodeRVA Regional High School,Virginia,0,0,0,0,0,0,1,Received,4,Urban,1
41,CodeRVA Regional High School,Virginia,0,0,0,0,0,0,1,Received,4,Multiple,1
26,Canon City High School,Colorado,0,0,0,0,0,0,1,"Considered, but not applied",5,Rural,1
24,Boston Day and Evening Academy,Massachusetts,0,0,0,0,0,0,1,Not considered,3,Urban,1
22,Blackstone Academy Charter School,Rhode Island,0,0,0,0,0,0,1,Not considered,4,Urban,1
15,Avalon School,Minnesota,0,0,0,0,0,0,1,Not considered,4,Urban,1
10,Asa Messer Elementary School,Rhode Island,0,0,0,0,0,0,0,Not considered,5,Urban,1
